st_port,GROUP_CONCAT(st_dest_ip),GROUP_CONCAT(st_serv_name),GROUP_CONCAT(rule_name),GROUP_CONCAT(rule_order),GROUP_CONCAT(rule_number)
1000/tcp,"136.157.210.21,136.157.210.102","DerSphere,DerSphere","a_17523_concierge,a_17523_concierge","1088,1088","1072,1072"
10000/tcp,157.163.134.14,tcp_10000,a_cRSP,966,950
10000/udp,157.163.134.14,UDP_10000,a_cRSP,966,950
10001/tcp,139.10.144.55,tcp_10001,a_whitelist,786,770
102/tcp,"129.214.226.217,129.214.226.163,141.73.40.231,139.22.159.27,10.220.5.86","ICCP,ICCP,ICCP,ICCP,tcp_102","a_whitelisting,a_whitelisting,a_whitelist,a_Jonas,wuser_2091","805,805,631,991,320","789,789,615,975,306"
1020/tcp,158.226.103.11,tcp_1020,a_whitelist,789,773
10211/tcp,147.54.155.190,tcp_10211,a_whitelist,724,708
1024-1080/tcp,"146.254.6.55,132.186.199.166","TCP_1024_1080,TCP_1024_1080","a_12685_clearcase,a_12685_clearcase","1092,1092","1076,1076"
1024-5000/tcp,"146.254.254.35,129.73.168.93","tcp_1024-5000,tcp_1024-5000","a_whitelist,a_whitelist","801,801","785,785"
1024-65535/tcp,"139.10.144.10,147.54.155.185,140.231.85.147,139.22.144.187,139.24.234.60,149.212.77.175,146.254.32.40,158.226.192.163,129.73.105.28,139.22.144.185,149.246.170.169,141.29.16.54,149.212.124.216,132.186.27.18,10.142.200.137","tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp_1024-65535","a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,wuser_4378","886,886,886,886,886,886,886,886,886,886,886,886,886,886,437","870,870,870,870,870,870,870,870,870,870,870,870,870,870,422"
1025-5000/tcp,"161.218.188.111,161.218.81.99,161.218.81.39,161.218.81.40,161.218.188.195","tcp_1025-5000,tcp_1025-5000,tcp_1025-5000,tcp_1025-5000,tcp_1025-5000","wuser_1872,wuser_1872,wuser_1872,a_whitelist,a_whitelist","341,341,341,610,640","326,326,326,594,624"
1038/tcp,"139.21.170.43,139.21.170.230","TCP_1038,TCP_1038","a_DPMA,a_DPMA","554,555","538,539"
1040/tcp,"136.157.210.102,136.157.210.21","TCP_1040,TCP_1040","a_17523_concierge,a_17523_concierge","1088,1088","1072,1072"
1055/tcp,129.73.171.37,tcp_1055,a_whitelist,804,788
1056/tcp,129.73.171.37,tcp_1056,a_whitelist,804,788
1090/tcp,"157.163.120.23,129.73.188.83,129.73.188.76,157.163.152.71,157.163.152.30,139.21.170.249,139.22.147.253,157.163.152.92,157.163.152.237,139.23.156.143,157.163.152.195,139.23.156.144,157.163.152.70,157.163.152.118,139.22.147.234,157.163.120.23,139.21.170.213,157.163.141.168,157.163.141.169,129.73.188.97,157.163.152.139,139.23.156.146,157.163.152.134,157.163.152.8,157.163.152.226,157.163.141.170","tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090,tcp_1090","a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist","775,870,870,880,880,880,881,879,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840","759,854,854,864,864,864,865,863,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824"
10943/tcp,163.242.0.55,TCP_10943,a_4485_OctopusDeploy,1126,1110
1095/tcp,"129.73.188.83,129.73.188.76,157.163.120.23,157.163.152.195,139.22.147.234,157.163.152.70,129.73.188.97,139.23.156.144,139.23.156.146,157.163.152.139,157.163.152.8,157.163.152.134,157.163.152.237,157.163.152.226,157.163.120.23,139.21.170.213,157.163.152.118,157.163.141.169,157.163.141.168,157.163.141.170,139.23.156.143","tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095,tcp_1095","a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist","870,870,775,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840","854,854,759,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824"
1098/tcp,"139.22.147.253,147.54.158.24,147.54.155.169,147.54.155.168","tcp_1098,tcp_1098,tcp_1098,tcp_1098","a_whitelist,a_whitelist,a_whitelist,a_whitelist","881,608,608,608","865,592,592,592"
1099/tcp,"147.54.155.169,147.54.155.166,147.54.158.24,147.54.155.168,139.22.147.253,161.134.219.132,161.134.219.133,161.134.219.136,161.134.219.138,161.134.252.22,161.134.252.23,161.134.219.139","tcp_1099,tcp_1099,tcp_1099,tcp_1099,tcp_1099,tcp_1099,tcp_1099,tcp_1099,tcp_1099,tcp_1099,tcp_1099,tcp_1099","a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_ediscoveryUS_Axcelerate,a_ediscoveryUS_Axcelerate,a_ediscoveryUS_Axcelerate,a_ediscoveryUS_Axcelerate,a_ediscoveryUS_Axcelerate,a_ediscoveryUS_Axcelerate,a_ediscoveryUS_Axcelerate","608,818,608,608,881,1027,1028,1029,1030,1032,1033,1031","592,802,592,592,865,1011,1012,1013,1014,1016,1017,1015"
110/tcp,"146.254.254.35,129.73.168.93","pop-3,pop-3","a_whitelist,a_whitelist","801,801","785,785"
1100/tcp,"139.25.231.74,157.163.86.170,158.226.21.61,139.23.156.215,147.54.155.213,158.226.135.13,147.54.155.212,139.25.234.197,139.21.161.197,158.226.21.58,139.21.161.204,139.25.74.7,157.163.142.80,139.23.83.73,139.23.161.139,139.23.155.6,139.22.180.153,139.25.75.138,139.23.85.150,137.223.0.101,139.23.85.134,139.23.161.137,129.214.79.168,139.23.83.70,139.25.74.8,194.138.227.4,139.25.228.184,139.23.161.141,10.220.5.86,139.22.180.71,139.23.11.249,139.23.85.166,139.23.161.140,139.25.236.23,139.23.161.138,161.134.9.102,139.23.155.13,139.22.180.175,139.25.228.164,139.23.83.8,139.22.145.124,139.25.231.199,139.23.83.72,139.21.161.199,146.253.92.101,139.23.95.134,139.23.50.54,10.143.151.13,10.225.128.68,139.23.50.38,158.226.17.90,157.163.138.100,158.226.21.61,10.99.168.248,139.25.98.6,139.25.231.85,139.23.83.72,139.25.98.7,140.231.14.103,139.23.95.198,10.99.168.251,139.23.95.183,158.226.17.92,158.226.21.58,140.231.232.151,139.23.95.167,139.23.95.150,10.225.128.71,158.226.17.91","tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100,tcp_1100","a_6103_sitris,a_sap_ap9,a_7640_openft,a_sap_ap9,a_whitelist,a_whitelist,a_whitelist,a_whitelisting_GPDI_interface,a_SAP_VP1,a_7640_openft,a_whitelist,wuser_2231,a_whitelist,wuser_3056,wuser_2231,wuser_2231,a_whitelist,wuser_2231,wuser_2159,wuser_2231,wuser_2159,wuser_2231,wuser_2231,wuser_3056,wuser_2231,wuser_2231,wuser_2277,wuser_2231,wuser_2091,a_whitelist,wuser_2250,wuser_2233,wuser_2231,wuser_1822,wuser_2231,wuser_4106,wuser_2231,a_whitelist,wuser_2277,wuser_3056,wuser_2231,wuser_3056,wuser_3056,wuser_2231,wuser_2231,a_5164,a_5143,a_whitelist,a_SAP_Ap8,a_5143,a_5142,a_OneSRM,a_7640_openft,a_5163,a_SAP_HCM_COLORADO,a_3056_EAS,a_3056_EAS,a_SAP_HCM_COLORADO,a_12366_sapap9,a_5164,a_5163,a_5164,a_5142,a_7640_openft,a_9985_kofaxIPA,a_5164,a_5164,a_SAP_Ap8,a_5142","563,567,558,567,776,689,776,599,764,558,765,384,80,420,384,384,80,384,357,384,357,384,384,420,384,384,397,384,320,80,391,387,384,333,384,429,384,80,397,420,384,421,421,384,384,960,890,944,1308,890,899,1011,1039,896,988,1043,1043,989,948,960,895,960,897,1039,1083,960,960,1311,898","547,551,542,551,760,673,760,583,748,542,749,369,71,405,369,369,71,369,342,369,342,369,369,405,369,369,382,369,306,71,376,372,369,318,369,414,369,71,382,405,369,406,406,369,369,944,874,928,1289,874,883,995,1023,880,972,1027,1027,973,932,944,879,944,881,1023,1067,944,944,1292,882"
11000/tcp,"158.226.21.61,158.226.21.58,158.226.21.61,139.21.170.230,158.226.21.58,139.21.170.43,139.21.170.43,139.21.170.230","tcp_11000,tcp_11000,tcp_11000,tcp_11000,tcp_11000,tcp_11000,tcp_11000,tcp_11000","a_7640_openft,a_7640_openft,a_7640_openft,a_DPMA,a_7640_openft,a_DPMA,wuser_4791,wuser_4791","1039,1039,558,555,558,554,442,442","1023,1023,542,539,542,538,427,427"
11026/tcp,18.230.86.137,tcp_11026,a_whitelist,807,791
11099/tcp,10.220.5.86,tcp_11099,wuser_2091,320,306
111/tcp,"132.186.135.158,137.223.43.230,137.223.43.229","tcp_111,tcp_111,tcp_111","a_17025_Avamar,a_99994_ATOSIRVLV,a_99994_ATOSIRVLV","1109,1071,1070","1093,1055,1054"
111/udp,132.186.93.168,udp_111,a_99996_plm,212,199
11103/tcp,"139.21.170.43,139.21.170.230","TCP_11103,TCP_11103","a_DPMA,a_DPMA","554,555","538,539"
11105/tcp,"139.21.170.43,139.21.170.230","TCP_11105,TCP_11105","a_DPMA,a_DPMA","554,555","538,539"
11106/tcp,"139.21.170.230,139.21.170.43","TCP_11106,TCP_11106","a_DPMA,a_DPMA","555,554","539,538"
11108/tcp,"139.21.170.230,139.21.170.43","TCP_11108,TCP_11108","a_DPMA,a_DPMA","555,554","539,538"
11123/tcp,157.163.133.171,tcp_11123,a_2238_pulsevpn,1073,1057
1120/tcp,"157.163.142.80,139.22.180.153,139.22.180.71,139.22.180.175","tcp_1120,tcp_1120,tcp_1120,tcp_1120","a_whitelist,a_whitelist,a_whitelist,a_whitelist","80,80,80,80","71,71,71,71"
11220/tcp,139.21.179.111,tcp_11220,a_whitelist,553,537
11234/tcp,10.220.5.86,tcp_11234,wuser_2091,320,306
11235/tcp,10.220.5.86,tcp_11235,wuser_2091,320,306
1130/tcp,"139.22.180.153,139.22.180.175,139.22.180.71,157.163.142.80,194.138.20.137","tcp_1130,tcp_1130,tcp_1130,tcp_1130,tcp_1130","a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist","80,80,80,80,750","71,71,71,71,734"
11301/tcp,"139.21.170.43,139.21.170.230","tcp_11301,tcp_11301","a_DPMA,a_DPMA","554,555","538,539"
11320/tcp,"158.92.12.27,10.136.12.0,10.136.21.96,10.136.12.64","tcp_11320,tcp_11320,tcp_11320,tcp_11320","a_whitelist,a_white_2087,a_white_2087,a_white_2087","836,883,883,883","820,867,867,867"
11321/tcp,"10.136.12.64,10.136.21.96,10.136.12.0,139.21.179.111,158.92.12.27","tcp_11321,tcp_11321,tcp_11321,tcp_11321,tcp_11321","a_white_2087,a_white_2087,a_white_2087,a_whitelist,a_whitelist","883,883,883,553,836","867,867,867,537,820"
12000-12100/tcp,136.157.210.102,tcp_12000-12100,a_whitelist,830,814
12000/tcp,"136.157.210.21,136.157.210.102","TCP_12000,TCP_12000","a_17523_concierge,a_17523_concierge","1088,1088","1072,1072"
12100/tcp,"136.157.210.102,136.157.210.21","TCP_12100,TCP_12100","a_17523_concierge,a_17523_concierge","1088,1088","1072,1072"
1215-2215/tcp,139.16.14.199,tcp_1215-2215,wuser_2871;2944,482,467
1215/tcp,"147.54.155.213,147.54.155.212,139.23.123.9,139.23.123.10,139.23.123.40","tcp_1215,tcp_1215,tcp_1215,tcp_1215,tcp_1215","a_whitelist,a_whitelist,a_white_3010,a_white_3010,a_white_3010","776,776,885,885,885","760,760,869,869,869"
1215/udp,"139.23.123.10,139.23.123.40,139.23.123.9,147.54.155.213,147.54.155.212","udp_1215,udp_1215,udp_1215,udp_1215,udp_1215","a_white_3010,a_white_3010,a_white_3010,a_whitelist,a_whitelist","885,885,885,776,776","869,869,869,760,760"
123/tcp,"155.45.163.128,155.45.163.130,155.45.163.130,155.45.163.128,155.45.163.127,155.45.163.129,155.45.163.127,155.45.163.129","ntp-tcp,ntp-tcp,ntp-tcp,ntp-tcp,ntp-tcp,ntp-tcp,ntp-tcp,ntp-tcp","a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs","1064,1064,1064,1064,1064,1064,1064,1064","1048,1048,1048,1048,1048,1048,1048,1048"
123/udp,"155.45.163.128,155.45.163.127,155.45.163.129,155.45.163.130,155.45.163.130,155.45.163.127,155.45.163.128,139.25.205.212,161.134.134.147,132.186.61.241,132.186.33.173,155.45.163.127,132.186.33.172,155.45.163.129,140.231.188.242","ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp,ntp-udp","a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_17042_cdclogs,a_cdc,a_cdc,a_17042_CDC,a_17042_CDC,a_cdc,a_17042_CDC,a_17042_cdclogs,a_17042_CDC","1064,1064,1064,1064,1064,1064,1064,995,995,954,954,998,954,1064,954","1048,1048,1048,1048,1048,1048,1048,979,979,938,938,982,938,1048,938"
1234/tcp,"129.214.226.217,129.214.226.163","UltorsTrojan,UltorsTrojan","a_whitelisting,a_whitelisting","805,805","789,789"
12345/tcp,"136.157.210.9,136.157.210.126,136.157.210.11,136.157.210.12,136.157.210.10,136.157.210.72,136.157.210.125,136.157.210.73,136.157.210.124","tcp_12345,tcp_12345,tcp_12345,tcp_12345,tcp_12345,tcp_12345,tcp_12345,tcp_12345,tcp_12345","a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist","831,831,831,831,831,831,831,831,831","815,815,815,815,815,815,815,815,815"
1235/tcp,"129.214.226.163,129.214.226.217","tcp_1235,tcp_1235","a_whitelisting,a_whitelisting","805,805","789,789"
12489/tcp,"139.21.179.73,139.21.179.111","tcp_12489,tcp_12489","a_whitelist,a_whitelist","588,553","572,537"
12701/tcp,"139.21.170.43,139.21.170.230","TCP_12701,TCP_12701","a_DPMA,a_DPMA","554,555","538,539"
12703/tcp,"139.21.170.43,139.21.170.230","TCP_12703,TCP_12703","a_DPMA,a_DPMA","554,555","538,539"
12705/tcp,"139.21.170.43,139.21.170.230","TCP_12705,TCP_12705","a_DPMA,a_DPMA","554,555","538,539"
12707/tcp,"139.21.170.43,139.21.170.230","TCP_12707,TCP_12707","a_DPMA,a_DPMA","554,555","538,539"
12708/tcp,"139.21.170.230,139.21.170.43","TCP_12708,TCP_12708","a_DPMA,a_DPMA","555,554","539,538"
12710/tcp,"139.21.170.230,139.21.170.43","TCP_12710,TCP_12710","a_DPMA,a_DPMA","555,554","539,538"
12901/tcp,"139.21.170.43,139.21.170.230","TCP_12901,TCP_12901","a_DPMA,a_DPMA","554,555","538,539"
12902/tcp,"139.21.170.43,139.21.170.230","TCP_12902,TCP_12902","a_DPMA,a_DPMA","554,555","538,539"
12903/tcp,"139.21.170.43,139.21.170.230","TCP_12903,TCP_12903","a_DPMA,a_DPMA","554,555","538,539"
1300/tcp,"157.163.142.80,139.22.180.175,139.22.180.71,139.22.180.153","tcp_1300,tcp_1300,tcp_1300,tcp_1300","a_whitelist,a_whitelist,a_whitelist,a_whitelist","80,80,80,80","71,71,71,71"
13011/tcp,"129.214.226.217,129.214.226.163","tcp_13011,tcp_13011","a_whitelisting,a_whitelisting","805,805","789,789"
13102/tcp,"139.21.170.43,139.21.170.230","tcp_13102,tcp_13102","a_DPMA,a_DPMA","554,555","538,539"
1320/tcp,"139.22.180.175,139.22.180.71,157.163.142.80,139.22.180.153","tcp_1320,tcp_1320,tcp_1320,tcp_1320","a_whitelist,a_whitelist,a_whitelist,a_whitelist","80,80,80,80","71,71,71,71"
13401/tcp,"139.21.170.230,139.21.170.43","TCP_13401,TCP_13401","a_DPMA,a_DPMA","555,554","539,538"
13402/tcp,"139.21.170.230,139.21.170.43","TCP_13402,TCP_13402","a_DPMA,a_DPMA","555,554","539,538"
13403/tcp,"139.21.170.230,139.21.170.43","TCP_13403,TCP_13403","a_DPMA,a_DPMA","555,554","539,538"
135-139/tcp,"139.16.14.179,139.16.14.167,129.103.99.137,146.254.130.17,136.157.210.102,136.157.210.21","tcp_135-139,tcp_135-139,tcp_135-139,tcp_135-139,tcp_135-139,tcp_135-139","wuser_2871;2944,wuser_2871;2944,a_whitelist,App_ACP_2_3__14249,a_17523_concierge,a_17523_concierge","519,519,782,299,1088,1088","504,504,766,285,1072,1072"
135-139/udp,"139.16.14.167,129.103.99.137,139.16.14.179","udp_135-139,udp_135-139,udp_135-139","wuser_2871;2944,a_whitelist,wuser_2871;2944","519,782,519","504,766,504"
135/tcp,"158.226.103.4,132.186.119.77,147.54.155.166,129.103.219.15,139.23.156.204,139.21.170.149,139.23.197.87,139.23.156.154,158.226.135.13,139.23.156.84,129.73.66.158,139.23.156.142,132.186.119.75,129.73.66.159,157.163.86.29,139.23.156.123,209.243.214.238,139.23.197.67,139.23.197.247,139.23.197.109,139.23.197.104,139.23.197.10,139.23.160.223,139.23.157.178,129.73.105.87,132.186.119.128,129.73.66.160,10.81.250.110,139.21.170.178,139.25.164.4,129.73.188.69,139.23.197.20,146.254.254.35,129.73.105.86,129.73.105.83,132.186.119.76,132.186.119.199,129.73.66.161,158.226.103.35,158.226.103.34,139.25.164.7,158.226.143.6,139.23.156.195,129.73.105.85,129.73.168.93,139.25.164.6,139.25.164.5,158.226.103.33,132.186.119.194,129.73.105.82,139.23.156.120,163.242.209.182,129.73.105.84,139.10.144.55,139.21.139.242,129.214.168.27,158.226.103.3,139.23.156.103,139.23.156.168,129.73.66.162,158.226.103.38,139.23.197.240,158.226.103.37,132.186.119.78,139.23.197.207,129.73.66.157,158.226.103.36,132.186.15.4,140.231.85.147,149.212.124.216,139","tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135,tcp_135","a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_17102_harmony,a_white_2029,a_white_2029,a_whitelist,a_white_2029,a_white_2029,a_white_2029,a_whitelist,a_whitelist,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_828_PDMS,a","788,601,818,645,788,815,646,788,689,788,788,788,604,788,785,788,802,802,802,802,802,802,802,802,788,601,788,745,802,788,802,601,801,788,788,601,601,788,788,788,788,601,788,788,801,788,788,788,601,788,788,601,788,786,605,788,788,788,788,788,788,612,788,601,745,788,788,1081,886,886,881,886,886,886,934,935,886,886,886,886,886,886,886,1080,886,1080,1080,886,835,819,820,436,436","772,585,802,629,772,799,630,772,673,772,772,772,588,772,769,772,786,786,786,786,786,786,786,786,772,585,772,729,786,772,786,585,785,772,772,585,585,772,772,772,772,585,772,772,785,772,772,772,585,772,772,585,772,770,589,772,772,772,772,772,772,596,772,585,729,772,772,1065,870,870,865,870,870,870,918,919,870,870,870,870,870,870,870,1064,870,1064,1064,870,819,803,804,421,421"
135/udp,"129.73.105.84,129.73.105.83,158.226.103.4,158.226.103.3,158.226.103.35,129.73.105.82,139.25.164.7,139.25.164.6,139.25.164.5,139.25.164.4,139.23.156.84,139.23.156.204,139.23.156.195,139.23.156.168,139.23.156.154,139.23.156.142,139.23.156.123,139.23.156.120,139.23.156.103,129.73.105.86,129.214.168.27,158.226.103.38,158.226.103.33,129.73.66.162,158.226.103.34,139.23.197.207,129.73.66.161,10.81.250.110,158.226.103.37,129.73.66.160,129.73.66.159,129.73.66.158,129.73.66.157,129.73.105.87,158.226.103.36,129.73.105.85","udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135,udp_135","a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist","788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788,745,788,745,788,788,788,788,788,788,788,788","772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,729,772,729,772,772,772,772,772,772,772,772"
1352/tcp,"146.254.6.55,132.186.199.166","lotus,lotus","a_12685_clearcase,a_12685_clearcase","1092,1092","1076,1076"
137-138/udp,"10.81.250.110,139.23.197.207","udp_137-138,udp_137-138","a_whitelist,a_whitelist","745,745","729,729"
137/tcp,"10.81.250.110,139.23.197.207","tcp_137,tcp_137","a_whitelist,a_whitelist","745,745","729,729"
