st_port,GROUP_CONCAT(st_dest_ip),GROUP_CONCAT(st_serv_name),GROUP_CONCAT(rule_name),GROUP_CONCAT(rule_order),GROUP_CONCAT(rule_number)
30015-39915/tcp,"157.163.142.80,139.22.180.153,139.22.180.71,139.22.180.175","tcp_30015-39915,tcp_30015-39915,tcp_30015-39915,tcp_30015-39915","a_whitelist,a_whitelist,a_whitelist,a_whitelist","80,80,80,80","71,71,71,71"
30015/tcp,"139.22.52.152,139.23.95.182,139.21.236.100,139.23.94.134,139.23.95.166,139.23.101.232,139.23.101.230,139.23.95.135,139.21.236.132,139.23.50.86,139.23.50.72,139.23.50.103,139.21.236.164,139.23.101.234,10.99.168.6,139.22.52.191,10.99.168.83,10.99.152.35,139.22.180.133,140.231.76.18,139.25.201.55,140.231.76.22,140.231.76.18,139.25.98.116,139.23.101.230,139.24.62.18,10.158.34.125,10.99.152.191,139.25.201.6,10.158.34.123","tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015,tcp_30015","a_99995_saphana,a_5143,a_14890_erprep,a_2231_P5E,a_5143,a_white_2219,a_white_2219,a_5143,a_Colorado_Rembreak,a_5143,a_5143,a_5143,a_Colorado_Rembreak,a_white_2219,a_whitelist_sap_erp_p5e,a_whitelist,a_whitelist_sap_erp_p5e,a_whitelist_sap_erp_p5e,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_2219_hana,a_2219_hana,a_whitelist,a_whitelist_sap_erp_p5e,a_whitelist_sap_erp_p5e,a_whitelist,a_whitelist_sap_erp_p5e","1060,892,1052,1055,892,882,882,892,1130,892,892,892,1132,882,560,618,564,582,632,799,619,618,618,597,597,799,583,584,618,585","1044,876,1036,1039,876,866,866,876,1114,876,876,876,1116,866,544,602,548,566,616,783,603,602,602,581,581,783,567,568,602,569"
30017/tcp,"139.21.236.132,139.21.236.164","TCP_30017,TCP_30017","a_Colorado_Rembreak,a_Colorado_Rembreak","1130,1132","1114,1116"
30041/tcp,139.25.201.55,tcp_30041,a_whitelist,619,603
30044/tcp,"139.25.201.55,139.23.101.232,139.23.101.230,139.23.101.234","tcp_30044,tcp_30044,tcp_30044,tcp_30044","a_whitelist,a_white_2219,a_white_2219,a_white_2219","619,882,882,882","603,866,866,866"
30113/tcp,"139.23.161.85,139.23.171.201,139.22.180.173,139.22.180.171,139.23.171.213","TCP_30113,TCP_30113,TCP_30113,TCP_30113,TCP_30113","a_99995_KSE,a_99995_SAP,a_99995_SAP,a_99995_SAP,a_99995_SAP","1089,717,718,718,717","1073,701,702,702,701"
30115/tcp,"139.22.180.173,139.21.161.201,139.21.161.202,139.21.161.203,139.23.171.213,139.23.171.201,139.22.180.171,139.23.161.85","tcp_30115,tcp_30115,tcp_30115,tcp_30115,tcp_30115,tcp_30115,tcp_30115,tcp_30115","a_99995_SAP,a_VP2,a_VP2,a_VP2,a_99995_SAP,a_99995_SAP,a_99995_SAP,a_99995_KSE","718,576,575,578,717,717,718,1089","702,560,559,562,701,701,702,1073"
30215/tcp,"139.21.161.234,139.21.161.234,139.21.161.233,139.21.161.235","tcp_30215,tcp_30215,tcp_30215,tcp_30215","a_99994_VP2,a_VP2,a_VP2,a_VP2","1059,580,579,581","1043,564,563,565"
3032/tcp,140.231.107.71,tcp_3032,a_whitelist,839,823
30464/udp,"149.212.124.9,149.212.124.12,149.212.124.18,149.212.124.19","udp_30464,udp_30464,udp_30464,udp_30464","a_whitelist,a_whitelist,a_whitelist,a_whitelist","812,812,812,812","796,796,796,796"
3050/tcp,"129.214.243.117,132.186.79.11,147.54.197.36,158.226.103.11","tcp_3050,tcp_3050,tcp_3050,tcp_3050","a_whitelist,a_whitelist,a_whitelist,a_whitelist","792,792,792,792","776,776,776,776"
30513/tcp,"139.23.171.229,139.23.171.244,139.23.171.245,139.23.171.243,139.22.180.79,139.23.171.201","tcp_30513,tcp_30513,tcp_30513,tcp_30513,tcp_30513,tcp_30513","a_99995_SAP,a_99995_SAP,a_99995_SAP,a_99995_SAP,a_99995_SAP,a_99995_SAP","715,715,715,715,715,715","699,699,699,699,699,699"
30713/tcp,139.22.52.184,TCP_30713,a_99995_SAP,716,700
30715/tcp,139.22.52.184,TCP_30715,a_99995_SAP,716,700
3161/tcp,"136.157.210.21,136.157.210.102","TCP_3161,TCP_3161","a_17523_concierge,a_17523_concierge","1088,1088","1072,1072"
3161/udp,136.157.210.102,udp_3161,a_whitelist,830,814
3200-3201/tcp,"139.22.14.198,139.22.14.197,139.22.14.196","tcp_3200-3201,tcp_3200-3201,tcp_3200-3201","a_2048,a_2048,a_2048","920,920,920","904,904,904"
3200-3232/tcp,10.220.5.86,tcp_3200-3232,wuser_2091,320,306
3200-3299/tcp,"157.163.142.80,139.22.180.153,139.22.180.175,139.22.180.71,158.226.14.83,158.226.14.82,158.226.14.87,158.226.14.85,158.226.14.88,139.21.236.133,139.21.236.165,139.23.155.247,139.23.156.216,139.23.156.215,157.163.86.170,139.23.155.246,139.23.155.245,139.23.156.219,139.23.156.214,157.163.181.228","tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299,tcp_3200-3299","a_whitelist,a_whitelist,a_whitelist,a_whitelist,wuser_1975,wuser_1975,a_HRONE,a_HRONE,a_HRONE,a_Colorado_Rembreak,a_Colorado_Rembreak,wuser_5365,a_whitelist,a_whitelist,a_whitelist,wuser_5365,wuser_5365,a_whitelist,a_whitelist,a_whitelist","80,80,80,80,352,352,1008,1008,1008,1131,1133,459,743,743,743,458,458,743,743,743","71,71,71,71,337,337,992,992,992,1115,1117,444,727,727,727,443,443,727,727,727"
3200/tcp,"140.231.76.6,140.231.76.10,140.231.76.27,158.226.1.104,139.23.138.7,140.231.76.9,158.226.1.103,139.25.122.137,140.231.76.8,140.231.76.4,139.24.237.69,140.231.51.114,141.29.16.143,141.29.16.142,139.22.144.241,139.22.145.4,139.22.145.49,140.231.76.20,139.24.236.138,139.24.236.159,139.24.236.58,139.24.236.100,140.231.80.81,158.226.17.90,139.23.138.8,140.231.14.103,10.143.151.13,10.99.168.251,10.99.168.248,139.23.94.11,140.231.14.105","tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200,tcp_3200","a_whitelist,a_whitelist,a_whitelist,wuser_2792,a_whitelist,a_whitelist,wuser_2792,a_whitelist,a_whitelist,a_whitelist,a_whitelist,wuser_2883,wuser_1950,wuser_1950,wuser_2883,wuser_2883,wuser_2883,wuser_1936,wuser_2883,wuser_2883,wuser_2883,wuser_2883,a_1977_SEeasy,a_5142,a_whitelist_SAP_ERP,a_12366_sapap9,a_whitelist,a_5163,a_5163,a_SAP_SolMan_CA1,a_12366_sapap9","625,625,620,530,635,623,530,787,625,625,666,415,351,351,414,414,414,345,414,414,414,414,1075,899,963,948,944,895,896,1048,951","609,609,604,515,619,607,515,771,609,609,650,400,336,336,399,399,399,330,399,399,399,399,1059,883,947,932,928,879,880,1032,935"
3201/tcp,"140.231.14.105,140.231.14.104,140.231.14.102,140.231.14.103,140.231.76.9,139.25.129.119,140.231.76.5,139.25.129.118","tcp_3201,tcp_3201,tcp_3201,tcp_3201,tcp_3201,tcp_3201,tcp_3201,tcp_3201","a_12366_sapap9,a_12366_sapap9,a_12366_sapap9,a_12366_sapap9,a_whitelist,wuser_5233,a_whitelist,wuser_2237","951,949,950,948,623,451,624,388","935,933,934,932,607,436,608,373"
32013/tcp,139.22.52.139,tcp_32013,a_99995_SAP,1087,1071
32015/tcp,"139.22.52.139,139.25.225.240,139.25.225.239,139.25.225.238,139.25.225.237,139.25.201.23,139.23.101.234,139.23.101.232,139.23.101.230,139.23.101.148,139.25.98.116,139.25.225.201","tcp_32015,tcp_32015,tcp_32015,tcp_32015,tcp_32015,tcp_32015,tcp_32015,tcp_32015,tcp_32015,tcp_32015,tcp_32015,tcp_32015","a_99995_SAP,wuser_2219,wuser_2219,wuser_2219,wuser_2219,wuser_2219,wuser_2219,wuser_2219,wuser_2219,wuser_2219,wuser_2219,a_2219_hana","1087,378,378,378,378,378,378,378,378,378,378,596","1071,363,363,363,363,363,363,363,363,363,363,580"
3202/tcp,"139.23.98.173,139.23.98.103,140.231.76.27,139.25.126.171,139.23.138.7,139.23.94.198,139.23.94.166,139.23.85.168,139.23.85.198,139.25.201.213,139.25.201.202,139.25.201.175,139.25.201.174,139.25.201.175,139.25.201.174,139.25.201.213,139.23.98.168,139.23.94.136,139.25.201.202,139.21.223.167,139.23.84.105,139.23.138.6,139.23.94.11,139.23.95.167,139.21.223.172,139.23.98.137,139.23.95.134,139.23.95.183,139.23.95.198,139.23.138.8,139.21.223.168,139.21.223.166,140.231.137.136,139.23.98.173,139.23.82.6,139.21.223.170,139.25.201.40,139.23.98.168,139.23.98.140,139.23.50.88,139.21.223.171,139.23.50.70,140.231.137.134,139.25.201.38,139.23.50.102,139.21.205.55,139.23.84.88,139.23.95.150,139.23.50.142,139.23.84.89,139.23.84.104,139.25.135.167,139.23.85.80,139.23.85.84,139.23.85.78,140.231.76.21,139.23.85.76,139.23.85.82,139.23.85.108,139.23.85.74,139.23.85.199,139.23.101.75,139.23.85.112,139.23.85.169,139.23.101.74,139.23.85.90,139.23.85.88,139.23.85.86,139.23.87.39","tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202,tcp_3202","a_2186_orgdb,a_smart_analytics,a_whitelist,wuser_5233,a_whitelist,a_whitelist,a_whitelist,wuser_2233,wuser_2233,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_2186_orgdb,a_whitelist,a_whitelist,a_2122_SpiridonSAP,a_5333_SAPFiori,a_5302_S4P,a_SAP_SolMan_CA1,a_5164,a_2122_SpiridonSAP,a_energyTM,a_5164,a_5164,a_5164,a_whitelist_SAP_ERP,a_2122_SpiridonSAP,a_2122_SpiridonSAP,a_5333_SAPFiori,a_2186_orgdb,a_2212_ESPRITSAP,a_2122_SpiridonSAP,a_5333_SAPFiori,a_2186_orgdb,a_energyTM,a_5143,a_2122_SpiridonSAP,a_5143,a_5333_SAPFiori,a_5333_SAPFiori,a_5143,a_smart_analytics,a_5333_SAPFiori,a_5164,a_2212_ESPRITSAP,a_5333_SAPFiori,a_5333_SAPFiori,a_whitelist,wuser_2159,wuser_2159,wuser_2159,wuser_1936,wuser_2159,wuser_2159,wuser_2159,wuser_2159,wuser_2233,wuser_2211,wuser_2159,wuser_2233,wuser_2211,wuser_2159,wuser_2159,wuser_2159,App_ACP_2_3__2080","559,572,620,452,635,512,514,527,528,695,695,686,686,685,685,684,559,511,684,1114,1014,1058,1048,960,1117,1016,960,960,960,963,1112,1113,1014,1022,1103,1115,1014,1022,1015,891,1116,891,1014,1014,891,1017,1014,960,1104,1014,1014,165,358,358,358,346,358,358,356,356,386,377,356,385,377,358,358,358,310","543,556,604,437,619,497,499,512,513,679,679,670,670,669,669,668,543,496,668,1098,998,1042,1032,944,1101,1000,944,944,944,947,1096,1097,998,1006,1087,1099,998,1006,999,875,1100,875,998,998,875,1001,998,944,1088,998,998,152,343,343,343,331,343,343,341,341,371,362,341,370,362,343,343,343,296"
