,IPs,APP ID,Protocol type port,FQDNs,Application Name
15177,139.21.188.24,5133,TCP 443; TCP 50004; TCP 50012; TCP 50013; TCP 50021,setp-os2.siemens-energy.com,Siemens Energy Tracability Portal - OSP
15179,139.21.188.62,5133,TCP 443; TCP 3391,Terminal Server,Siemens Energy Tracability Portal - OSP
15183,158.226.128.12,5099,TCP 52000,http://atvies26sx.sie.siemens.at:52000/XMII/Menu.jsp,SAP:MII / MPM 
15184,158.226.128.10,5099,TCP 51400,http://atvies26rx.sie.siemens.at:51400/XMII/Menu.jsp,SAP:MII / MEM 
15190,146.253.77.154,5005,TCP 443; TCP 1433; TCP 1434,sefsps99sq2srv.ad001.siemens.net,LCMS
16194,129.214.226.157,13667,TCP 3389; TCP 6201,sn1d1298.ad001.siemens.net,Op Center EX (Simatic IT MES)
15206,129.73.158.17,4879,TCP 6201; TCP 443,sn1d4712.ad001.siemens.net,KRONOS (AGT)
18249,157.163.141.138,7423,TCP 9000,,PSDI
19171,139.16.254.88,6797,TCP 433,simpledo.siemens.it,SIMPLEDO
18941,139.25.98.171,5164,TCP 139; TCP 445,,SAP_PTG
15224,139.23.157.15,6180,TCP 445; TCP 64782; TCP 61234; TCP 57090,denbgat9w48srv.ad001.siemens.net,TurboSEL (GP O&G)
19212,139.23.11.249,2250,TCP 1100; TCP 443,internal-archive-ft.siemens.com,Saperion Internal Archive 
19176,139.23.85.150,2159,TCP 443; TCP 1100,demchdc9qnx.dc4ca.siemens.de,ERP RLP
15272,139.21.170.81,5710,TCP 80; TCP 443; TCP 3389; TCP 8080,sn1pmc15.ad001.siemens.net,Procurement and Purchasing Tools
15268,139.23.156.21,5710,TCP 80; TCP 443; TCP 3389,sn1pmc11.ad001.siemens.net,Procurement and Purchasing Tools
17267,139.23.171.229,7241,TCP 35415,sapha158.os.fth.sbs.de,IPPT Integrated Project planning Tool
17268,139.23.231.229,7241,TCP 9052,es-bwq.eps.siemens.com,IPPT Integrated Project planning Tool
19707,139.23.171.244,99995,TCP 35215,pkgbwq4d.os.fth.sbs.de ,SAP
17273,157.163.133.132,7241,TCP 9076,defthwa96r4.os.fth.sbs.de,IPPT Integrated Project planning Tool
17274,157.163.133.137,7241,TCP 37615,defthwa9qz2.os.fth.sbs.de,IPPT Integrated Project planning Tool
15290,139.23.160.125,5835,TCP 443; TCP 82; TCP 3389; UDP 3389; TCP 8080; TCP 8443; TCP 6201,defthw99m5lsrv.ad001.siemens.net,pgEnsure
15295,209.243.232.100,5835,TCP 443; TCP 82; TCP 3389; UDP 3389; TCP 8080; TCP 8443; TCP 1433,usrur00001bsrv.ad001.siemens.net,pgEnsure
15292,139.21.170.17,5835,TCP 443; TCP 82; TCP 3389; UDP 3389; TCP 6201,sn1d9208.ad001.siemens.net,pgEnsure
15293,139.21.170.16,5835,TCP 443; TCP 82; TCP 3389; UDP 3389; TCP 8080; TCP 8443,sn1pge01.ad001.siemens.net,pgEnsure
15301,139.22.207.13,6305,TCP 3259,vke.sfs.siemens.de,SinsTRA [SFS]
20045,129.214.83.32,,TCP 3205,,SAP Legacy
17876,139.22.248.135,9730,TCP 80; TCP 443 ; TCP 44315; TCP 6201; TCP 139; TCP 445,dedbgr99y15srv.ad001.siemens.net,TOAST
15319,146.253.34.45,6334,TCP 27101,sn1fcm01.ad101.siemens-energy.net            ,Tecplot
15350,139.21.170.106,6470,TCP 6889 - 6899,sn1d6004.ad001.siemens.net,SIPS+
15351,139.21.170.106,6470,TCP 6798,sn1d6004.ad001.siemens.net,SIPS+
15352,139.21.170.106,6470,TCP 6898; TCP 6899,sn1d6004.ad001.siemens.net,SIPS+
15353,139.21.170.106,6470,TCP 8979,sn1d6004.ad001.siemens.net,SIPS+
15355,139.21.170.183,6470,TCP 6760; TCP 3004; TCP 3005; TCP 4000-4009; TCP 4010-4019,sn1w8702.ad001.siemens.net,SIPS+
15356,139.21.152.18,6470,TCP 6201; TCP 6202; TCP 6889-6899; TCP 6798; TCP 8979,sn1d2308.ad001.siemens.net,SIPS+
15358,139.21.152.19,6470,TCP 6760; TCP 4010-4019; TCP 4000-4009; TCP 3004; TCP 3005,sn1w4908.ad001.siemens.net,SIPS+
15359,139.25.208.11,6470,TCP 25; TCP 465; TCP 587,mail.siemens.de,SIPS+
19574,139.25.129.54,6532,TCP 443; TCP 8337,tableau-rt.siemens.com,Tableau
15376,147.54.168.95,6569,TCP 443; TCP 8082,http://blnh301a:8082/default.aspx,Siewert-Tool
15377,139.23.28.33,1416,"TCP 3202, TCP 4802, TCP 44302",demchdc8vvx.dc4ca.siemens.de ,SAP MDG M4P FocuS/4
15384,139.24.199.26,6595,TCP 52155,hgha298a.AD001.SIEMENS.NET  (CN);CNHGH02V46.ad001.siemens.net,Sigraph ET
15383,147.54.155.190,6595,TCP 10211; TCP 52155,SN1SWP01.AD001.SIEMENS.NET,Sigraph ET
15385,58.102.106.136,6610,TCP 1433; TCP 80,KRSELC001SRV,Smartbill
17266,139.23.231.228,7241,TCP 9054,es-bwd.eps.siemens.com,IPPT Integrated Project planning Tool
20126,139.23.24.198,4555,TCP 1522,,APPSP for Oracle
15849,139.25.19.137,9481,TCP 9443,siestaupdate.cert.siemens.com,SiESTA-Update Server
15427,139.23.157.173,7493,TCP 80; TCP 443; TCP 445,defthw99y75srv.ad001.siemens.net,MCIS - BDE for SDO - Test
19549,146.254.217.137,4471,TCP 8080,Archiving server;sn1w4706.ad901.siemens.net,Opentext [AM] Non-PROD
15422,139.24.234.72,7289,TCP 43925,cnsha08072.ad001.siemens.net,OOCT
15434,139.23.160.102,7306,TCP 2905; UDP 2905; TCP 8212; TCP 8213; TCP 2904; UDP 2904; TCP 8210; TCP 8211; TCP 443,defthw99wmzsrv.ad001.siemens.net,Mis+
15440,144.145.46.34,7559,TCP 1433; UDP 1434,DEBBGN3D2A.ad001.siemens.net,Plop (WiXI)
15441,157.163.86.109,7606,TCP 38081,sap01279.os.fth.sbs.de,Agile WEB Service (High Voltage)
15443,157.163.86.109,7607,TCP 38082,sap01279.os.fth.sbs.de,Agile WEB Service (Transformers)
15560,10.141.183.157,7423,TCP 1523,,PSDI
15561,10.141.183.41,7423,TCP 1524,,PSDI
15562,10.141.183.42,7423,TCP 1525,,PSDI
15563,10.141.183.43,7423,TCP 1526,,PSDI
19968,139.21.170.230,17267,TCP 1527,sn1ips03.ad001.siemens.net ,DPMA Server
15565,10.141.183.45,7423,TCP 1528,,PSDI
