,IPs,APP ID,Protocol type port,FQDNs,Application Name
16388,147.54.168.123,2527,TCP 4440; UDP4441; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342; TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,sn1tdm03.ad001.siemens.net,CIMCO Edit V5
18123,139.23.95.102,3869,TCP 4879,adp.siemens.net,CTM ABAP (Development)
16405,139.23.95.102,2819,TCP 3379,adp.siemens.net,ADP
17441,163.242.203.29,10783,TCP 443; TCP 1408,cimw5.siemens.ru,Travel Management (RU)
16408,163.242.203.42,2887,TCP 443; TCP 52101,jcmwk.siemens.ru,SAP HR (MW5) [RCA] + ESS/MSS MWK myHR portal
19037,163.242.203.29,2887,TCP 1408,cimw5.siemens.ru,SAP HR (MW5) [RCA] + ESS/MSS MWK myHR portal
16410,163.242.203.42,2887,TCP 52101,jcmwk.ww600.siemens.net,SAP HR (MW5) [RCA] + ESS/MSS MWK myHR portal
16427,147.54.135.100,2991,TCP 445; TCP 3737; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342; TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,stage-mfg-infogate.siemens.net,ELVis [BLN]
16473,129.73.148.142,1151,TCP 10123;TCP 443;TCP 80;UDP 10123;UDP 443,USMIFADS24A.ad001.siemens.net,Microsoft System Center Configuration Manager
16477,139.23.21.170,1151,TCP 8530;TCP 8531;TCP 443;TCP 80;UDP 8530;UDP 8531;UDP 443,DEMCHADS32A.ad001.siemens.net,Microsoft System Center Configuration Manager
16481,140.231.41.38,1151,UDP 34545;UDP 34322;UDP 34323;UDP 34331;UDP 34333;UDP 34339;UDP 34341;UDP 34324;UDP 34325;UDP 34335;UDP 34337;UDP 34343;UDP 34750;UDP 34546,SGSGPADS20A.AD001.SIEMENS.NET,Microsoft System Center Configuration Manager
16482,140.231.107.73,1209,TCP 57742,http://SGSGPM073SRV.ad001.siemens.net,MS SQL (GP O&G GS EHM)
16489,157.163.179.55,1302,TCP 3300; TCP 3200,https://hmlg.siemens.com.br/Lysi/Home,Lysi
16490,146.254.217.144,1302,TCP 3250; TCP 3251;TCP 3252;TCP 3253; TCP 3254; TCP 3350; TCP 3351;TCP 3352;TCP 3353; TCP 3354,https://prod.siemens.com.br/Lysi/Home,Lysi
16491,146.254.217.144,2018,TCP 3650,sn1s2501.dc.siemens.net,Spiridon BR1 [BRA] PROD
16524,157.163.141.136,1979,TCP 31016;TCP 31015;TCP 51014;TCP 51013,sap03933.os.fth.sbs.de,SAP ERP PT2
16527,147.54.168.15,3202,TCP 445;TCP 80;TCP 443;TCP 8080;TCP 6201;TCP 1443;TCP 1433;TCP 3389;TCP 3300;TCP 3342;TCP 21;TCP 1433;TCP 4022;TCP 135;TCP 139;TCP 1434;TCP 2382;TCP 2383;UDP 137;UDP 138;UDP 500;UDP 1434;UDP 4500,BLNH355A.ad001.siemens.net,GIS-H
16568,147.54.45.127,3266,TCP 3389; UDP 3389; TCP 445; TCP 3342; TCP 3300;TCP 80;TCP 443;TCP 8080;TCP 6201;TCP 1443;TCP 1433;TCP 445;TCP 3389;TCP 3300;TCP 3342;TCP 21;TCP 1433;TCP 4022;TCP 135;TCP 139;TCP 1434;TCP 2382;TCP 2383; UDP 137;UDP 138;UDP 500;UDP 1434;UDP 4500,DEBLNRO0009SRV;sn1d9907.ad101.siemens-energy.net;sn1d2617.AD901.siemens.net;sn1fac02.AD901.siemens.net,Facton EPC
16589,139.10.144.55,3444,TCP 1433; UDP 1434; TCP 135; TCP 445; UDP 445; TCP 137; UDP 137; TCP 139; UDP 138; TCP 27005; TCP 10001,FRGNBN1023ASRV.AD001.SIEMENS.NET,ENGINEERING BASE (EM-FR)
16599,139.10.11.106,3550,TCP 10001,frlehc31w106srv.ad001.siemens.net,FLEXLM EB (EM-FR)
16645,140.231.107.71,4033,TCP 666;TCP 9300;TCP 9309,https://sgsgpm071srv.ad001.siemens.net,DMS [GP O&G GS EHM]
16647,139.25.122.137,4046,TCP 3200;TCP 4800;TCP 8400,demchdc95vx.dc4ca.siemens.de,Corporate Master Data Management (CMD)
16908,10.222.111.115,4143,TCP 445; TCP 135; UDP 135; UDP 137; UDP 138; TCP 139,VECCS010011DAT.ad101.siemens-energy.net,Migration Portal for NGFS
17091,147.54.168.123,5678,TCP 1433; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,sn1tdm03.ad001.siemens.net,PCNCProg
16917,147.54.168.95,4151,TCP 80; TCP 443; TCP 445; TCP 1443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383;UDP 137;UDP 138; UDP 500; UDP 1434; UDP 4500,blnh301a.ad001.siemens.net,NCC Analysetool
16918,147.54.168.15,4151,TCP 80; TCP 443;TCP 445;TCP 1443;TCP 8080;TCP 6201;TCP 1443;TCP 1433; TCP 445;TCP 3389;TCP 3300;TCP 3342;TCP 21;TCP 1433;TCP 4022;TCP 135;TCP 139;TCP 1434;TCP 2382;TCP 2383; UDP 137;UDP  38; UDP 500; UDP 1434; UDP 4500,blnh355a.ad001.siemens.net,NCC Analysetool
16920,147.54.155.167,4151,TCP 80; TCP 443; TCP 445; TCP 1443;  TCP 6221;TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342; TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,sn1d9707.ad001.siemens.net,NCC Analysetool
16934,147.54.175.22,4301,TCP 80; TCP 443; TCP 445; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,blnh301a.ad001.siemens.net;blnh355a.ad001.siemens.net;deblnh99db1srv.ad001.siemens.net,OM Monitor
16935,139.23.157.196,4344,TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342,DEFTHW99Y8RSRV.ad001.siemens.net,Modulex
16939,147.54.155.145,4437,TCP 80; TCP 8080; TCP 8081;TCP 443; TCP 1433; TCP 6201; TCP 1443; TCP 445; TCP 3389; TCP 3300; TCP 3342; TCP 19001; TCP 19002; TCP 19003;TCP 21; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,sn1psi01.ad001.siemens.net,MES TBV Berlin
16940,147.54.155.148,4437,TCP 80; TCP 8080; TCP 8081;TCP 443;TCP 6201; TCP 1433; TCP 1443; TCP 445; TCP 3389; TCP 3300; TCP 3342; TCP 9090; TCP 19001; TCP 19002; TCP 19003; TCP 60001; TCP 60002; TCP 60003;TCP 21; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,sn1psi02.ad001.siemens.net,MES TBV Berlin
16945,147.54.155.158,4437,TCP 80; TCP 8080; TCP 8081;TCP 443;TCP 6201; TCP 1433; TCP 1443;TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,sn1d1605.ad001.siemens.net,MES TBV Berlin
16942,147.54.155.151,4437,TCP 80; TCP 8080; TCP 8081;TCP 443;TCP 6201; TCP 1433; TCP 1443;TCP 445; TCP 3389; TCP 3300; TCP 3342; TCP 19008; TCP 19009; TCP 19010; TCP 60000; TCP 60001; TCP 60002; TCP 19005; TCP 19006; TCP 19007;TCP 21; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,sn1psi04.ad001.siemens.net,MES TBV Berlin
16953,147.54.175.22,4478,TCP 1433; TCP 4022; TCP 135; TCP 1434; UDP 1434; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342,deblnh99db1srv.ad001.siemens.net,MetroMac CM
16956,147.54.175.22,4480,TCP 1433; TCP 4022; TCP 135; TCP 1434; UDP 1434; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,deblnh99db1srv.ad001.siemens.net,Metrosoft DB
16964,139.23.156.81,4535,TCP 6201;TCP 1433;TCP 443,sn1d3611.ad001.siemens.net;sn1d3913.ad001.siemens.net;sn1w1707.ad001.siemens.net,MI@EM [GP TP DGE]
16987,163.242.182.7,4768,TCP 8060; TCP 8061; TCP 13000; UDP 13000; TCP 13291; TCP 13294; TCP 14000; TCP 13111; UDP 15111; TCP 17000; UDP 15000; UDP 15000; UDP 15001,kaspersky.siemens.ru;kaspersky-ru.siemens.net,Kaspersky Malware Protection
17011,140.231.107.71,4983,TCP 2100;TCP 780;TCP 5551,https://sgsgpm071srv.ad001.siemens.net,IMMTS [GP O&G GS EHM]
17051,140.231.107.71,5388,TCP 9999;TCP 9855;TCP 3032,https://sgsgpm071srv.ad001.siemens.net,RMS [SE O PR ]
20100,161.218.243.226,3779,TCP 8888,,CREO2 
17066,157.163.152.92,5461,TCP 3325;TCP 3225; TCP 1090,SAP01536.os.fth.sbs.de,SAP SolMan SMP
17069,157.163.152.30,5461,TCP 3308;TCP 3208; TCP 1090,sap03464.os.fth.sbs.de,SAP SolMan SMP
17101,149.246.174.51,5683,TCP 443;TCP 515;TCP 8081;TCP 7127;TCP 7125;TCP 3300;TCP 2800-2899;TCP 3200-3299;TCP 3300-3399;TCP 3500-3599;TCP 3600-3699;TCP 4100-4199;TCP 4200-4299;TCP 4300-4399;TCP 4400-4499;TCP 4800-4899;TCP 6100-6199;TCP 6900-6999;TCP 7100-7199;TCP 7200-7299;TCP 8000-8099;TCP 8100-8199;TCP 8400-8499;TCP 9100-9199;TCP 9200-9299,sn1mhl01.ad001.siemens.net,PLOSSYS (PD)
17099,139.21.170.196,5683,TCP 443; TCP 515; TCP 7777; TCP 8081; TCP 7127; TCP 7125;TCP 3300;TCP 2800-2899;TCP 3200-3299;TCP 3300-3399;TCP 3500-3599;TCP 3600-3699;TCP 4100-4199;TCP 4200-4299;TCP 4300-4399;TCP 4400-4499;TCP 4800-4899;TCP 6100-6199;TCP 6900-6999;TCP 7100-7199;TCP 7200-7299;TCP 8000-8099;TCP 8100-8199;TCP 8400-8499;TCP 9100-9199;TCP 9200-9299,sn1bc101.ad001.siemens.net,PLOSSYS (PD)
17102,129.73.188.87,5683,TCP 443;TCP 515;TCP 9131;TCP 2800-2899;TCP 3500-3599;TCP 4100-4299;TCP 3300-3399; TCP 4800-4899;TCP 4400-4499;TCP 6100-6199;TCP 6900-6999;TCP 7100-7299;TCP 8000-8199;TCP 8400-8499;TCP 9100-9199,sn1opp01.ad101.siemens-energy.net,PLOSSYS (PD)
17103,129.73.188.90,5683,TCP 443;TCP 515;TCP 9131;TCP 2800-2899;TCP 3300-3399;TCP 3500-3599;TCP 4100-4299;TCP 3300-3399;TCP 4800-4899;TCP 4400-4499;TCP 6100-6199;TCP 6900-6999;TCP 7100-7299;TCP 8000-8199;TCP 8400-8499;TCP 9100-9199,sn1opp02.ad001.siemens.net,PLOSSYS (PD)
17142,140.231.107.71,5975,TCP 4444;TCP 555;TCP 3000,https://sgsgpm071srv.ad001.siemens.net,WMS [GP O&G GS EHM]
17184,139.22.155.177,6208,TCP 443 and TCP 50001,intranet.ueasy.siemens.net;bkkc273a.ad001.siemens.net,UMT
17185,139.22.155.176,6208,TCP 443 and TCP 50201,bkkc270a.ad001.siemens.net,UMT
17226,146.253.32.12,6748,TCP 4544;TCP 8085;TCP 11321,sn1ppl02.ad001.siemens.net,Teamcenter (SUS)
17228,146.253.32.13,6748,TCP 4544; TCP 8080; TCP 8003; TCP 11320; TCP 28000,sn1pms01;ad001.siemens.net,Teamcenter (SUS)
17235,146.253.32.6,6748,TCP 4544; TCP 8080,sn1str01.ad001.siemens.net,Teamcenter (SUS)
17232,137.223.218.10,6748,TCP 4544,gbultwe9rdasrv.ad001.siemens.net,Teamcenter (SUS)
17233,146.253.32.14,6748,TCP 443; TCP 4544; TCP 8090; TCP 11320;TCP 11321,sn1dev03.ad001.siemens.net,Teamcenter (SUS)
17240,139.25.225.237,6937,TCP 443;TCP 32015,pulse.siemens.cloud,Global BAS Tool
17241,147.54.251.124,6977,TCP 4850; TCP 3050,DELPZK001L1A.siemens-energy.net,InterBase 2009 (GP O&G)
17242,147.54.251.117,7001,TCP 8080; TCP 85; TCP 445,DELPZK001A1A.siemens-energy.net,Inneo Start-Up Tools (GP O&G)
17255,132.186.56.75,7100,TCP 4545,inamdnw075srv.ad001.siemens.net,PDMS Aveva  (GP O&G)
17360,147.54.175.22,8938,TCP 1433; TCP 3389; UDP 3389;TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,deblnh99db1srv.ad001.siemens.net,SCIIL - eLPA
17361,10.99.155.141,8938,TCP 51234; TCP 443; TCP 3389; UDP 3389; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,sn1mes01.ad001.siemens.net,SCIIL - eLPA
17363,147.54.175.22,8938,TCP 1433; TCP 3389; UDP 3389; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 445; TCP 3389; TCP 3300; TCP 3342,deblnh99db1srv.ad001.siemens.net,SCIIL - eLPA
17393,149.246.171.157,8930,TCP 1521; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342,demlhm99ng2srv.ad001.siemens.com,Besucherankündigung@BlnH
17398,139.23.157.218,9404,TCP 8192,DEFTHW99YBSSRV.ad01.siemens.net,pgService
17455,147.54.175.22,11948,TCP 1433; TCP 4022; TCP 135; TCP 1434; UDP 1434; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 4022; TCP 135; TCP 139; TCP 2382-2383; UDP 137-138; UDP 500; UDP 4500,deblnh99db1srv.ad001.siemens.net,WM Quartis 
17450,139.21.161.204,11875,TCP3305,pkgvp10d.os.fth.sbs.de,DockPack Compiler
17451,139.21.161.197,11875,TCP3320,denbgat9xah.os.fth.sbs.de,DockPack Compiler
19386,139.25.228.190,2277,TCP 389,al-qa.siemens.net,SCD
19381,139.25.228.183,2277,TCP 80; TCP 443; TCP 447,ch-qa.siemens.com,SCD
17515,139.21.179.118,3258,TCP 445; TCP 20000; TCP 11320; TCP 11321; TCP 42200; TCP 443; TCP 42700; TCP 56665; TCP 22; TCP 9443,DEFTHWA0208SRV.ad001.siemens.net,Globus
17516,139.21.179.111,3258,TCP 445; TCP 20000; TCP 11321; TCP 23000; TCP 42700; TCP 11220; TCP 9443; TCP 28000; TCP 28010,DEFTHWA0200SRV.ad001.siemens.net,Globus
17517,139.21.179.112,3258,TCP 445; TCP 20000; TCP 11321; TCP 23000; TCP 42700; TCP 11220; TCP 25050; TCP 9443; TCP 28000; TCP 28010,DEFTHWA0201SRV.ad001.siemens.net,Globus
17518,139.21.179.116,3258,TCP 445; TCP 20000; TCP 11321; TCP 42700; TCP 9443; TCP 443; TCP 28000; TCP 28010,DEFTHWA0205SRV.ad001.siemens.net,Globus
18455,10.99.154.202,3258,TCP445; TCP 9126; TCP 11321; TCP 42700; TCP 25000; TCP 9443,DEFTHWA0202SRV.ad101.siemens-energy.net,"GloBus (NX, Teamcenter)"
17523,139.21.179.82,3258,TCP 389; TCP 9443; TCP 443; TCP 8643,DEFTHWA0210SRV.ad001.siemens.net ,Globus
17524,139.21.179.80,3258,TCP 12489; TCP 443,DEFTHWA0207SRV.ad001.siemens.net,Globus
17525,139.21.179.117,3258,TCP 445; TCP 20000; TCP 11321; TCP 23010; TCP 23020; TCP 9443; TCP 443; TCP 8983,DEFTHWA0206SRV.ad001.siemens.net,Globus
18454,129.73.244.138,3258,TCP 30000; TCP 445,USPNPCW138SRV.ad001.siemens.net,"GloBus (NX, Teamcenter)"
17551,147.54.175.5,12482,TCP 3389; UDP 3389; TCP 445; TCP 6201; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 1433; TCP 4022; TCP 135; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,DEBLNH99J45SRV.ad001.siemens.net,pgTRACE
17554,147.54.175.22,12562,TCP 135; TCP 445; TCP 1099; TCP 8081; TCP 80; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342;TCP 21; TCP 1433; TCP 4022; TCP 139; TCP 1434; TCP 2382; TCP 2383; UDP 137; UDP 138; UDP 500; UDP 1434; UDP 4500,deblnh99db1srv.ad001.siemens.net,Imagic IMS
17559,147.54.175.22,12565,TCP 80; TCP 81; TCP 443; TCP 445; TCP 8090; TCP 809; TCP 445; TCP 443; TCP 8080; TCP 6201; TCP 1443; TCP 1433; TCP 445; TCP 3389; TCP 3300; TCP 3342,blnh301a.ad001.siemens.net;blnh355a.ad001.siemens.net;blnh99db1srv.ad001.siemens.net,8D Database
17561,146.253.92.8,12646,TCP 64001; TCP 64002; TCP 64004; TCP 64006; TCP 64003; TCP 64021; TCP 64011; TCP 64012; TCP 64011; TCP 64010,SEFSPS99006SRV.ad101.siemens-energy.net,Versiondog@SLN
17842,157.163.141.170,5141,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53989,sap03037.os.fth.sbs.de ,SAP_KFP: PDM Exchange
17694,157.163.152.237,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53990,sap03872.os.fth.sbs.de ,SAP_KFP: Master Document List - MDL
17695,157.163.152.130,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53991,sap03816.os.fth.sbs.de ,SAP_KFP: Master Document List - MDL
17696,157.163.152.8,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53992,sap03031.os.fth.sbs.de ,SAP_KFP: Master Document List - MDL
17697,157.163.152.226,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53993,sap03874.os.fth.sbs.de ,SAP_KFP: Master Document List - MDL
17698,157.163.152.134,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53994,sap07020.os.fth.sbs.de ,SAP_KFP: Master Document List - MDL
17699,157.163.152.139,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53995,sap07021.os.fth.sbs.de ,SAP_KFP: Master Document List - MDL
17700,157.163.152.118,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53996,sapha020.os.fth.sbs.de ,SAP_KFP: Master Document List - MDL
17701,157.163.152.195,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53997,sapha054 .os.fth.sbs.de ,SAP_KFP: Master Document List - MDL
17702,157.163.152.70,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53998,sapha055.os.fth.sbs.de ,SAP_KFP: Master Document List - MDL
17703,10.99.153.249,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53999,defthw990k2.ad101.siemens-energy.net,SAP_KFP: Master Document List - MDL
17704,139.22.147.234,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260-8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 54000,defthw990k3.ad001.siemens.net,SAP_KFP: Master Document List - MDL
17834,129.73.188.83,5141,TCP 1090; TCP 1095,sn1usa03.ad001.siemens.net,SAP_KFP: PDM Exchange
17710,139.21.170.213,5140,TCP 80; TCP 443; TCP 1090; TCP 1095; TCP 3245; TCP 3258; TCP 3260; TCP 3345; TCP 3358-3360; TCP 3445; TCP 3458-3460; TCP 3645; TCP 3658; TCP 3660; TCP 4845; TCP 4858; TCP 4860; TCP 8008; TCP 8045; TCP 8050; TCP 8060-8061; TCP 8145; TCP 8150; TCP 8158; TCP 8160-8161; TCP 8245; TCP 8260; TCP 8261; TCP 8888-8889; TCP 9045; TCP 9050; TCP 9060-9061; TCP 9145; TCP 9158; TCP 9160-9161; TCP 23001; TCP 53993,sn1cnv01.ad001.siemens.net,SAP_KFP: Master Document List - MDL
